timestamp,step,loss,perplexity,learning_rate,tokens_per_sec,tokens_total,tokens_billions,elapsed_hours,val_loss
2026-02-20T13:58:51.428226,4350,4.408421,82.14,2.000000e-04,25920,106905600,0.1069,1.1457,
2026-02-20T13:59:36.343906,4400,4.383192,80.09,2.000000e-04,25936,108134400,0.1081,1.1582,
2026-02-20T14:00:20.966360,4450,4.361325,78.36,2.000000e-04,25953,109363200,0.1094,1.1705,
2026-02-20T14:01:05.782853,4500,4.366534,78.77,2.000000e-04,25968,110592000,0.1106,1.1830,
2026-02-20T14:01:06.956845,4500,4.366534,78.77,2.000000e-04,25961,110592000,0.1106,1.1833,4.220741
2026-02-20T14:01:55.457074,4550,4.357217,78.04,2.000000e-04,25954,111820800,0.1118,1.1968,
2026-02-20T14:02:40.084400,4600,4.312687,74.64,2.000000e-04,25970,113049600,0.1130,1.2092,
2026-02-20T14:03:24.865154,4650,4.311686,74.57,2.000000e-04,25985,114278400,0.1143,1.2216,
2026-02-20T14:04:09.732410,4700,4.317266,74.98,2.000000e-04,25999,115507200,0.1155,1.2341,
2026-02-20T14:04:54.984466,4750,4.362697,78.47,2.000000e-04,26011,116736000,0.1167,1.2467,
2026-02-20T14:05:39.662808,4800,4.350689,77.53,2.000000e-04,26026,117964800,0.1180,1.2591,
2026-02-20T14:06:24.322908,4850,4.300470,73.73,2.000000e-04,26040,119193600,0.1192,1.2715,
2026-02-20T14:07:09.000756,4900,4.269535,71.49,2.000000e-04,26054,120422400,0.1204,1.2839,
2026-02-20T14:07:54.654057,4950,4.231086,68.79,2.000000e-04,26063,121651200,0.1217,1.2966,
2026-02-20T14:08:39.250325,5000,4.228357,68.60,2.000000e-04,26077,122880000,0.1229,1.3090,
2026-02-20T14:08:40.399486,5000,4.228357,68.60,2.000000e-04,26070,122880000,0.1229,1.3093,4.169725
2026-02-20T14:10:03.532902,5050,4.204484,66.99,2.000000e-04,25875,124108800,0.1241,1.3324,
2026-02-20T14:10:47.738113,5100,4.240774,69.46,2.000000e-04,25892,125337600,0.1253,1.3446,
